transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,fraud_type
1.0,684415.0,2028.0,1262.77,11/24/2023 22:39,0.0,Rupay,Bangalore,,28.0,Identity theft
2.0,447448.0,2046.0,2222.928,03/30/2024 16:18,0.0,MasterCard,Surat,POS,62.0,Malware
3.0,975001.0,2067.0,7509.832,03/07/2024 18:27,0.0,MasterCard,Hyderabad,POS,24.0,Malware
4.0,976547.0,,2782.965,02/01/2024 00:58,0.0,Rupay,Hyderabad,Digital,62.0,Payment card fraud
5.0,935741.0,2044.0,,12/22/2023 18:42,0.0,,Bangalore,Digital,19.0,scam
6.0,774817.0,2001.0,8526.012,03/04/2024 22:33,1.0,Rupay,Mumbai,,23.0,scam
7.0,957795.0,2026.0,1224.773,,0.0,Visa,Surat,Digital,58.0,scam
8.0,266812.0,2094.0,9396.354,09/08/2023 01:13,0.0,,Mumbai,POS,49.0,Payment card fraud
9.0,401388.0,2035.0,3904.2,01/09/2024 00:43,0.0,Visa,Kolkata,Digital,37.0,Malware
,602861.0,2035.0,,03/08/2024 08:17,0.0,MasterCard,Ahmedabad,POS,51.0,Identity theft
11.0,903776.0,2025.0,,02/12/2024 03:33,0.0,Visa,Hyderabad,Digital,,phishing
12.0,620576.0,2042.0,8069.63,12/17/2023 07:43,0.0,Rupay,Hyderabad,POS,33.0,Malware
13.0,787150.0,2026.0,,11/11/2023 07:38,1.0,Visa,Surat,POS,42.0,scam
14.0,523483.0,2068.0,481.95,01/11/2024 14:48,0.0,,,Digital,29.0,Identity theft
15.0,679113.0,2019.0,11429.747999999998,09/10/2023 23:01,1.0,Visa,Mumbai,Digital,24.0,Payment card fraud
16.0,441188.0,2010.0,10468.106,02/14/2024 06:29,0.0,MasterCard,Jaipur,,56.0,Identity theft
17.0,,2073.0,10864.872,09/04/2023 03:38,,Visa,Surat,Digital,34.0,Identity theft
18.0,953752.0,2037.0,14761.674,09/11/2023 04:51,1.0,MasterCard,Delhi,Digital,62.0,Malware
19.0,500558.0,,15926.13,03/05/2024 05:55,0.0,Rupay,Chennai,Digital,28.0,Identity theft
20.0,935897.0,2071.0,2319.39,09/06/2023 20:03,0.0,MasterCard,Pune,Digital,,Malware
21.0,315005.0,2022.0,2159.85,09/08/2023 13:08,0.0,Rupay,Mumbai,Digital,40.0,Identity theft
22.0,464958.0,2046.0,6742.186000000001,10/10/2023 13:28,0.0,Rupay,Chennai,Digital,44.0,scam
23.0,115377.0,2089.0,4139.73,11/17/2023 06:42,,MasterCard,Surat,Digital,,phishing
24.0,972563.0,2045.0,10087.944,02/28/2024 13:35,0.0,MasterCard,Jaipur,Digital,23.0,Malware
25.0,919876.0,2011.0,10806.276,10/13/2023 08:32,0.0,Visa,Delhi,Digital,55.0,Malware
26.0,491228.0,2089.0,3566.54,02/11/2024 12:43,0.0,Visa,Ahmedabad,POS,19.0,scam
27.0,365016.0,2012.0,2406.86,,0.0,MasterCard,,Digital,39.0,Identity theft
28.0,207435.0,2061.0,7816.23,02/19/2024 22:21,0.0,MasterCard,,Digital,37.0,phishing
29.0,571808.0,2081.0,,12/10/2023 23:28,0.0,MasterCard,Bangalore,Digital,42.0,scam
30.0,766497.0,2088.0,14823.017999999998,02/20/2024 01:56,1.0,MasterCard,Hyderabad,Digital,32.0,Identity theft
31.0,836156.0,2096.0,4692.820000000001,10/08/2023 21:06,0.0,Rupay,Kolkata,Digital,66.0,Malware
32.0,470802.0,2059.0,7361.332,03/15/2024 19:46,1.0,MasterCard,Hyderabad,Digital,46.0,Identity theft
33.0,,2042.0,1801.044,11/23/2023 05:42,,MasterCard,Pune,,25.0,Malware
34.0,315537.0,2075.0,9386.1,02/25/2024 00:47,0.0,MasterCard,Jaipur,POS,54.0,Payment card fraud
35.0,494874.0,2099.0,4545.09,02/14/2024 19:57,,MasterCard,Delhi,POS,66.0,Malware
,559002.0,2067.0,9713.1375,02/03/2024 02:15,1.0,Rupay,Ahmedabad,POS,69.0,phishing
,859536.0,2004.0,,11/12/2023 20:09,0.0,Visa,Surat,Digital,50.0,scam
38.0,663473.0,2036.0,,10/30/2023 00:06,0.0,Visa,Ahmedabad,Digital,39.0,phishing
39.0,771430.0,2071.0,14247.4695,01/25/2024 05:11,0.0,Visa,Jaipur,Digital,67.0,Payment card fraud
,371258.0,2091.0,2206.56,11/08/2023 17:28,,Visa,Surat,Digital,64.0,phishing
41.0,100184.0,2030.0,1002.36,12/08/2023 21:01,0.0,Visa,Surat,Digital,22.0,
42.0,721575.0,2008.0,285.2,11/12/2023 19:17,0.0,,Pune,Digital,56.0,scam
43.0,652898.0,2050.0,6437.62,01/03/2024 19:31,1.0,,Jaipur,Digital,35.0,Payment card fraud
44.0,344280.0,2028.0,7308.708,03/19/2024 17:18,0.0,Rupay,Chennai,POS,55.0,scam
45.0,928927.0,2077.0,,11/14/2023 06:18,1.0,Rupay,Hyderabad,Digital,24.0,Payment card fraud
