id,razorpay_payment_id,timestamp,agent_type,amount,currency,payment_method,upi_app,bank,status,error_code,device_fingerprint,ip_address,fraud_score,is_suspicious,fraud_reasons,amount_slab,hour_of_day,is_night_transaction,is_weekend,attempt_count
6126,pay_KFKEPVIA8HQ74B,2025-12-24T19:16:39.745684,dormant,809.42,INR,upi,BHIM,BOB,success,,device_c43078c7-ea54-4a,103.245.141.81,7.0,False,"[""UPI switching: 80.0%""]",large,19,False,False,7
6125,pay_1YIDYT0IHDIYKT,2025-12-24T19:16:39.631577,dormant,6146.09,INR,upi,GPay,Axis,success,,device_af5deff8-284a-4a,103.248.131.250,14.0,False,"[""High velocity: 7 txns in 1 min"", ""UPI switching: 77.78%""]",very_large,19,False,False,11
6124,pay_2AFOIPFEKZQJLQ,2025-12-24T19:16:39.603167,dormant,62.78,INR,upi,PhonePe,SBI,success,,device_ef322e13-4428-49,103.34.235.49,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,4
6123,pay_3ORVS33HR9X98O,2025-12-24T19:16:39.529395,dormant,1406.65,INR,upi,Paytm,BOB,failed,UPI_AUTHENTICATION_FAILED,device_e4192be0-471d-47,103.102.124.154,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,5
6122,pay_DMHL40UY3YNX6O,2025-12-24T19:16:39.403120,normal,1931.69,INR,upi,Amazon Pay,Axis,success,,device_7dc62300-cf58-44,103.27.12.72,7.0,False,"[""UPI switching: 100.0%""]",large,19,False,False,6
6121,pay_JHSNVS8GHU3AYX,2025-12-24T19:16:37.258639,dormant,1242.71,INR,upi,PhonePe,Kotak,success,,device_ad8e64ce-1785-40,103.96.147.55,7.0,False,"[""UPI switching: 80.0%""]",large,19,False,False,7
6120,pay_VI2M5ULQ17IYGX,2025-12-24T19:16:36.738573,dormant,7871.47,INR,upi,PayZapp,PNB,success,,device_e6cd67b5-6117-4d,103.56.168.232,14.0,False,"[""High velocity: 5 txns in 1 min"", ""UPI switching: 83.33%""]",very_large,19,False,False,8
6119,pay_4A62LFOZ5CRG5K,2025-12-24T19:16:35.584202,dormant,82.81,INR,upi,Paytm,BOB,success,,device_c78bc216-7ae8-48,103.219.23.3,7.0,False,"[""UPI switching: 100.0%""]",medium,19,False,False,7
6118,pay_U7NN13KNYIUYOV,2025-12-24T19:16:33.752526,dormant,1638.58,INR,upi,Amazon Pay,HDFC,success,,device_8d85900a-d6f3-42,103.249.152.235,7.0,False,"[""UPI switching: 66.67%""]",large,19,False,False,5
6117,pay_FBPWXZXJ7B91I8,2025-12-24T19:16:33.701929,dormant,1243.49,INR,upi,PayZapp,BOB,failed,INSUFFICIENT_FUNDS,device_c43078c7-ea54-4a,103.245.141.81,7.0,False,"[""UPI switching: 75.0%""]",large,19,False,False,6
